SiteCollection,Site,List,LastModified,TotalFileCount,TotalFileStreamSize,TotalSize,VersionSize
https://m365x79132763.sharepoint.com/sites/GlobalSales,https://m365x79132763.sharepoint.com/sites/GlobalSales,Documents,25/09/2023 17:28,13,4.850180626,6.146286964,1.296106339
https://m365x79132763.sharepoint.com/sites/GlobalSales,https://m365x79132763.sharepoint.com/sites/GlobalSales,Site Assets,25/09/2023 17:28,17,39.39052105,58.17382431,18.78330326
https://m365x79132763.sharepoint.com/sites/HumanResources,https://m365x79132763.sharepoint.com/sites/HumanResources,Documents,25/09/2023 16:49,0,0,0,0
https://m365x79132763.sharepoint.com/sites/leadership,https://m365x79132763.sharepoint.com/sites/leadership,Documents,8/08/2023 17:34,4,9.645265579,19.34369946,9.698433876
https://m365x79132763.sharepoint.com/sites/leadership,https://m365x79132763.sharepoint.com/sites/leadership,Site Assets,8/08/2023 17:34,7,5.909417152,11.64418983,5.734772682
https://m365x79132763.sharepoint.com/sites/leadership-connection,https://m365x79132763.sharepoint.com/sites/leadership-connection,Documents,25/09/2023 17:29,1,2.176246643,2.223100662,0.046854019
https://m365x79132763.sharepoint.com/sites/leadership-connection,https://m365x79132763.sharepoint.com/sites/leadership-connection,Site Assets,25/09/2023 17:29,56,67.40103912,122.1908731,54.78983402
https://m365x79132763.sharepoint.com/sites/Mark8ProjectTeam,https://m365x79132763.sharepoint.com/sites/Mark8ProjectTeam,Documents,17/10/2023 8:01,76,166.1772966,274.1022444,107.9249477
https://m365x79132763.sharepoint.com/sites/Mark8ProjectTeam,https://m365x79132763.sharepoint.com/sites/Mark8ProjectTeam,Site Assets,17/10/2023 11:58,14,4.603059769,10.59323311,5.99017334
https://m365x79132763.sharepoint.com/sites/newemployeeonboarding,https://m365x79132763.sharepoint.com/sites/newemployeeonboarding,Documents,17/10/2023 8:19,0,0,0,0
https://m365x79132763.sharepoint.com/sites/newemployeeonboarding,https://m365x79132763.sharepoint.com/sites/newemployeeonboarding,Training audit,17/10/2023 8:20,114,31.99592876,138.3122711,106.3163424
https://m365x79132763.sharepoint.com/sites/office365adoption,https://m365x79132763.sharepoint.com/sites/office365adoption,Documents,8/08/2023 16:47,0,0,0,0
https://m365x79132763.sharepoint.com/sites/operations,https://m365x79132763.sharepoint.com/sites/operations,Documents,8/08/2023 16:46,0,0,0,0
https://m365x79132763.sharepoint.com/sites/parentsofcontoso,https://m365x79132763.sharepoint.com/sites/parentsofcontoso,Documents,17/10/2023 8:20,0,0,0,0
https://m365x79132763.sharepoint.com/sites/ProjectFalcon-UXtest,https://m365x79132763.sharepoint.com/sites/ProjectFalcon-UXtest,Documents,25/09/2023 17:29,10,6.038355827,25.18562508,19.14726925
https://m365x79132763.sharepoint.com/sites/Remoteliving,https://m365x79132763.sharepoint.com/sites/Remoteliving,Documents,21/09/2023 23:01,3,4.31114006,4.777029991,0.465889931
https://m365x79132763.sharepoint.com/sites/Remoteliving,https://m365x79132763.sharepoint.com/sites/Remoteliving,Site Assets,12/10/2023 22:38,2,0.012933731,0.076480865,0.063547134
https://m365x79132763.sharepoint.com/sites/Retail,https://m365x79132763.sharepoint.com/sites/Retail,Documents,21/09/2023 23:06,17,8.754710197,12.55422497,3.799514771
https://m365x79132763.sharepoint.com/sites/Retail,https://m365x79132763.sharepoint.com/sites/Retail,Retail Images,21/09/2023 23:10,3,3.782012939,9.627778053,5.845765114
https://m365x79132763.sharepoint.com/sites/Retail,https://m365x79132763.sharepoint.com/sites/Retail,Site Assets,21/09/2023 23:11,12,11.41633701,20.19234467,8.776007652
https://m365x79132763.sharepoint.com/sites/RetailOperations,https://m365x79132763.sharepoint.com/sites/RetailOperations,Documents,25/09/2023 17:29,13,14.19791985,16.29392624,2.096006393
https://m365x79132763.sharepoint.com/sites/RetailOperations,https://m365x79132763.sharepoint.com/sites/RetailOperations,Site Assets,25/09/2023 17:29,41,72.99799824,95.17586613,22.17786789
https://m365x79132763.sharepoint.com/sites/safety,https://m365x79132763.sharepoint.com/sites/safety,Documents,8/08/2023 16:47,0,0,0,0
https://m365x79132763.sharepoint.com/sites/SalesAndMarketing,https://m365x79132763.sharepoint.com/sites/SalesAndMarketing,Documents,21/09/2023 23:10,30,7.694452286,15.74864197,8.054189682
https://m365x79132763.sharepoint.com/sites/SalesAndMarketing,https://m365x79132763.sharepoint.com/sites/SalesAndMarketing,Site Assets,21/09/2023 23:11,5,5.383964539,7.832346916,2.448382378
https://m365x79132763.sharepoint.com/sites/salesbestpractices,https://m365x79132763.sharepoint.com/sites/salesbestpractices,Documents,8/08/2023 16:48,0,0,0,0
https://m365x79132763.sharepoint.com/sites/SOCTeam,https://m365x79132763.sharepoint.com/sites/SOCTeam,Documents,21/09/2023 23:13,0,0,0,0
https://m365x79132763.sharepoint.com/sites/SOCTeam,https://m365x79132763.sharepoint.com/sites/SOCTeam,Site Assets,21/09/2023 23:13,0,0,0,0
https://m365x79132763.sharepoint.com/sites/ThePerspective,https://m365x79132763.sharepoint.com/sites/ThePerspective,Documents,25/09/2023 17:29,5,10.1106987,10.16021442,0.049515724
https://m365x79132763.sharepoint.com/sites/ThePerspective,https://m365x79132763.sharepoint.com/sites/ThePerspective,Site Assets,25/09/2023 17:29,22,45.32932663,61.82327366,16.49394703
https://m365x79132763.sharepoint.com/sites/USSales,https://m365x79132763.sharepoint.com/sites/USSales,Documents,21/09/2023 23:15,8,2.316925049,11.59003544,9.27311039
https://m365x79132763.sharepoint.com/sites/USSales,https://m365x79132763.sharepoint.com/sites/USSales,Site Assets,16/10/2023 16:40,2,0.012634277,0.076178551,0.063544273
